ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Barlow-2024-1	1	2pl subject prefix (2PL)	1213	YOU
Barlow-2024-2	2	edible possessive classifier (POSS.ED)		
Barlow-2024-3	3	transitive suffix (TR)		
Barlow-2024-4	4	tree; wood, firewood, stick	2141	TREE OR WOOD
Barlow-2024-5	5	base of a tree; tree trunk	344	TREE TRUNK
Barlow-2024-6	6	leaf of a tree	628	LEAF
Barlow-2024-7	7	fruit of a tree	1507	FRUIT
Barlow-2024-8	8	branch of a tree	1531	BRANCH
Barlow-2024-9	9	seed of a tree	714	SEED
Barlow-2024-10	10	root of a tree	670	ROOT
Barlow-2024-11	11	bark of a tree	1204	BARK
Barlow-2024-12	12	piece of wood	1803	WOOD
Barlow-2024-13	13	children (plural)	2099	CHILD
Barlow-2024-14	14	canoe	1970	CANOE
Barlow-2024-15	15	dry	1398	DRY
Barlow-2024-16	16	thoroughly, completely		
Barlow-2024-17	17	worm, earthworm	1219	WORM
Barlow-2024-18	18	sucker (e.g., of a banana plant)	546	SUCKER
Barlow-2024-19	19	topic marker (TOP)		
Barlow-2024-20	20	four (4) (counting in fours; used as an adnominal numeral)	1500	FOUR
Barlow-2024-21	21	twenty (20)	1710	TWENTY
Barlow-2024-22	22	two hundred (200)	2676	TWO HUNDRED
Barlow-2024-23	23	hundred, one hundred (100)	1634	HUNDRED
Barlow-2024-24	24	forty (40)	1716	FORTY
Barlow-2024-25	25	fifty (50)	1717	FIFTY
Barlow-2024-26	26	ten (10)	1515	TEN
Barlow-2024-27	27	leg, foot	2098	FOOT OR LEG
Barlow-2024-28	28	foot	1301	FOOT
Barlow-2024-29	29	ash, ashes (white ash)	646	ASH
Barlow-2024-30	30	to sit	1416	SIT
Barlow-2024-31	31	chair	1476	CHAIR
Barlow-2024-32	32	drum type (hand drum; TP: kundu)	908	DRUM
Barlow-2024-33	33	to come	1446	COME
Barlow-2024-34	34	wrong, crazy, drunken	1899	MAD
Barlow-2024-35	35	round	1395	ROUND
Barlow-2024-36	36	man’s mother’s brother (uncle), man’s sister’s son (nephew) (TP: kandere)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
Barlow-2024-37	37	1sg subject prefix (1SG)	1209	I
Barlow-2024-38	38	girl	1646	GIRL
Barlow-2024-39	39	shoulder	1482	SHOULDER
Barlow-2024-40	40	skirt, grass skirt for women	1600	SKIRT
Barlow-2024-41	41	paint used for teeth blackening		
Barlow-2024-42	42	tall ginger (TP: gorgor)		
Barlow-2024-43	43	bottom; below	690	BOTTOM
Barlow-2024-44	44	husband	1200	HUSBAND
Barlow-2024-45	45	name	1405	NAME
Barlow-2024-46	46	other, another; one	197	OTHER
Barlow-2024-47	47	bitter	887	BITTER
Barlow-2024-48	48	blood	946	BLOOD
Barlow-2024-49	49	breath	870	BREATH
Barlow-2024-50	50	one (1)	1493	ONE
Barlow-2024-51	51	to rub	1449	RUB
Barlow-2024-52	52	pandanus	469	PANDANUS
Barlow-2024-53	53	no (negative response word); not (negator) (NEG)	2279	NO OR NOT
Barlow-2024-54	54	mother (1sg)	1216	MOTHER
Barlow-2024-55	55	to know	3626	KNOW
Barlow-2024-56	56	day (countable)	1260	DAY (24 HOURS)
Barlow-2024-57	57	water, river	2798	RIVER OR WATER
Barlow-2024-58	58	lake	624	LAKE
Barlow-2024-59	59	clam		
Barlow-2024-60	60	thigh	471	UPPER LEG (THIGH)
Barlow-2024-61	61	liver	1224	LIVER
Barlow-2024-62	62	to blow (of the wind); to climb, to ascend, to go up; to grow		
Barlow-2024-63	63	mouth	674	MOUTH
Barlow-2024-64	64	to yawn	1028	YAWN
Barlow-2024-65	65	lip	478	LIP
Barlow-2024-66	66	much, many, a lot	1198	MANY
Barlow-2024-67	67	sick	1847	SICK
Barlow-2024-68	68	calling, yelling, shouting		
Barlow-2024-69	69	men (plural)	1554	MAN
Barlow-2024-70	70	wet; smelly, stinky	1726	WET
Barlow-2024-71	71	table	1775	TABLE
Barlow-2024-72	72	thick	1244	THICK
Barlow-2024-73	73	spider	843	SPIDER
Barlow-2024-74	74	frog	503	FROG
Barlow-2024-75	75	grass	606	GRASS
Barlow-2024-76	76	flower (of a banana plant)	239	FLOWER
Barlow-2024-77	77	to talk, to speak, to say	2708	TALK
Barlow-2024-78	78	talk, speech (TP: toktok)	1115	SPEECH
Barlow-2024-79	79	to dance	1879	DANCE
Barlow-2024-80	80	causative prefix (CAUS)		
Barlow-2024-81	81	women, females (plural)	962	WOMAN
Barlow-2024-82	82	woman, female; wife	1551	FEMALE
Barlow-2024-83	83	old woman	907	OLD WOMAN
Barlow-2024-84	84	to blow (a fire); to raise (something)		
Barlow-2024-85	85	reciprocal suffix (RECP) (each other, one another)		
Barlow-2024-86	86	some, few	1241	SOME
Barlow-2024-87	87	to break in pieces	3020	BREAK (BREAKING)
Barlow-2024-88	88	to turn	1588	TURN
Barlow-2024-89	89	four (4)	1500	FOUR
Barlow-2024-90	90	to point out; to choose, to select		
Barlow-2024-91	91	pointer finger, index finger, forefinger	577	FOREFINGER
Barlow-2024-92	92	mountain; temple (of the head)	639	MOUNTAIN
Barlow-2024-93	93	tongue	1205	TONGUE
Barlow-2024-94	94	to play	1413	PLAY
Barlow-2024-95	95	to choose, to pick	1750	CHOOSE
Barlow-2024-96	96	year; customary dance	1226	YEAR
Barlow-2024-97	97	to show	1039	SHOW
Barlow-2024-98	98	today, now	2097	NOW OR TODAY
Barlow-2024-99	99	new	1231	NEW
Barlow-2024-100	100	how many?	822	HOW MANY
Barlow-2024-101	101	to block, to tie	2762	BLOCK (THE WAY)
Barlow-2024-102	102	tail	1220	TAIL
Barlow-2024-103	103	left (not right)	244	LEFT
Barlow-2024-104	104	out; to go out, to take out, to remove	1107	GO OUT
Barlow-2024-105	105	cold, sickness	3819	COLD (FEELING COLD)
Barlow-2024-106	106	base (of a tree)	831	BASE
Barlow-2024-107	107	to turn over, to capsize	3537	TURN OVER
Barlow-2024-108	108	bandicoot	3012	BANDICOOT
Barlow-2024-109	109	to kill; to bite	1417	KILL
Barlow-2024-110	110	animal, meat	2096	ANIMAL OR MEAT
Barlow-2024-111	111	to blow	176	BLOW (WITH MOUTH)
Barlow-2024-112	112	white	1335	WHITE
Barlow-2024-113	113	3sg pronoun (he, him, she, her, it)	262	HE OR SHE OR IT
Barlow-2024-114	114	leaf; hair (of the head)	628	LEAF
Barlow-2024-115	115	nose	1221	NOSE
Barlow-2024-116	116	to walk	1443	WALK
Barlow-2024-117	117	because	1157	BECAUSE
Barlow-2024-118	118	1sg pronoun (I, me)	1209	I
Barlow-2024-119	119	man’s brother-in-law	2314	BROTHER-IN-LAW
Barlow-2024-120	120	snake	730	SNAKE
Barlow-2024-121	121	bamboo sp. (wild bamboo)	1927	BAMBOO
Barlow-2024-122	122	1pl.excl pronoun (we, us)	1212	WE
Barlow-2024-123	123	1tr.excl pronoun (we three, us three)		
Barlow-2024-124	124	1du.excl pronoun (we two, us two)	2636	WE TWO (EXCLUSIVE)
Barlow-2024-125	125	2pl pronoun (ye, you, y’all)	1213	YOU
Barlow-2024-126	126	2tr pronoun (ye three, you three, y’all three)		
Barlow-2024-127	127	2du pronoun (ye two, you two, y’all two)	2111	YOU TWO
Barlow-2024-128	128	to drink	1401	DRINK
Barlow-2024-129	129	smelly, stinky	42	STINKING
Barlow-2024-130	130	pain; painful; to hurt, to be in pain	2561	HURT (SENSE PAIN)
Barlow-2024-131	131	spear (generic)	945	SPEAR
Barlow-2024-132	132	2sg pronoun (thou, thee, you)	1215	THOU
Barlow-2024-133	133	3pl pronoun (they, them)	817	THEY
Barlow-2024-134	134	3tr pronoun (they three, them three)		
Barlow-2024-135	135	3du pronoun (they two, them two)	2635	THEY TWO
Barlow-2024-136	136	highlands, mountain	639	MOUNTAIN
Barlow-2024-137	137	1pl.incl pronoun (we, us)	1212	WE
Barlow-2024-138	138	1tr.incl pronoun (we three, us three)		
Barlow-2024-139	139	1du.incl pronoun (we two, us two)	2637	WE TWO (INCLUSIVE)
Barlow-2024-140	140	who?	1235	WHO
Barlow-2024-141	141	star	1430	STAR
