ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-050,lote1237-1,breath,ɛiŋa-,"ɛiŋa-m (2sg), ɛiŋa-na (3sg)",also [hɛiŋa-],Barlow2024
lote1237-1-051,lote1237-1,one (1),ɛllɛ,,,Barlow2024
lote1237-1-052,lote1237-1,to rub,ɛmu,ɛmu-ɛ,"cf. /kira/ ‘to scrub, to brush, to wipe’",Barlow2024
lote1237-1-053,lote1237-1,pandanus,ɛrɛ,,,Barlow2024
lote1237-1-054,lote1237-1,no (negative response word); not (negator) (NEG),ɛro,,,Barlow2024
lote1237-1-055,lote1237-1,"to look, to see",ɛs,ɛs-ia,also /nau/,Barlow2024
lote1237-1-056,lote1237-1,mother (1sg),ɛta-,ɛta-k (1sg),allomorph of /ta-/ ‘mother’ used for 1sg possessor,Barlow2024
lote1237-1-057,lote1237-1,to know,ɛtei,ɛtei-a,,Barlow2024
lote1237-1-058,lote1237-1,day (countable),ɛtuɛ,,"cf. /sinaŋa/ ‘day, daytime’",Barlow2024
lote1237-1-059,lote1237-1,"water, river",ɛx,,,Barlow2024
lote1237-1-060,lote1237-1,lake,ɛx mata-,"ɛx mata-na (3sg), ɛx mata-ria (3pl)",‘water eye-POSS’,Barlow2024
lote1237-1-061,lote1237-1,clam,hae,,same form as ‘thigh’,Barlow2024
lote1237-1-062,lote1237-1,thigh,hae-,"hae-k (1sg), hae-m (2sg), hae-na (3sg)",same form as ‘clam’,Barlow2024
lote1237-1-063,lote1237-1,liver,haha-,"haha-k (1sg), haha-m (2sg), haha-na (3sg)",reduplication?,Barlow2024
lote1237-1-064,lote1237-1,"to blow (of the wind); to climb, to ascend, to go up; to grow",haka,,"also [aka]; cf. /hɛkɛ/ ‘to blow (a fire); to raise (something)’, with which it likely has a relationship; /hurus/ ‘to blow’, /iu/ ‘to blow; to call (for someone), to shout’",Barlow2024
lote1237-1-065,lote1237-1,mouth,hal-,"hal-ik (1sg), hal-im (2sg), han-na (3sg)",also [al-],Barlow2024
lote1237-1-066,lote1237-1,to yawn,hal- paŋpaŋa,"hal-im paŋpaŋa (2sg), han-na paŋpaŋa (3sg)",‘mouth-POSS wide’,Barlow2024
lote1237-1-067,lote1237-1,lip,hal- ulina,"hal-ik uli-na (1sg), hal-im uli-na (2sg), han-na uli-na (3sg), har-ria uli-na (3pl)",‘mouth-POSS skin-3SG’,Barlow2024
lote1237-1-068,lote1237-1,"much, many, a lot",halaŋ,,,Barlow2024
lote1237-1-069,lote1237-1,sick,haleles,,,Barlow2024
lote1237-1-070,lote1237-1,"calling, yelling, shouting",halŋa-,"halŋa-m (2sg), halŋa-na (3sg)",< /hal-/ ‘mouth’?,Barlow2024
lote1237-1-071,lote1237-1,men (plural),hana,,,Barlow2024
lote1237-1-072,lote1237-1,"wet; smelly, stinky",has,,,Barlow2024
lote1237-1-073,lote1237-1,table,hataŋa,,possibly a nominalized form of something,Barlow2024
lote1237-1-074,lote1237-1,thick,hatat,,,Barlow2024
lote1237-1-075,lote1237-1,spider,hau,,possibly /hau/,Barlow2024
lote1237-1-076,lote1237-1,daughter,heɛ-,"heɛ-k (1sg), he-ɛm (2sg), heɛ-nɛ (3sg)","also /tu- hɛiŋana/, /tu- neŋe hɛi/",Barlow2024
lote1237-1-077,lote1237-1,frog,hehe,,reduplication?,Barlow2024
lote1237-1-078,lote1237-1,grass,heilil,,,Barlow2024
lote1237-1-079,lote1237-1,flower (of a banana plant),heiŋa-,"heiŋa-na (3sg), heiŋa-ria (3pl)",,Barlow2024
lote1237-1-080,lote1237-1,"to talk, to speak, to say",hele,"hele-ŋa (nominalization, ‘talk, speech’)",,Barlow2024
lote1237-1-081,lote1237-1,"talk, speech (TP: toktok)",heleŋa,,‘talk-NMLZ’,Barlow2024
