ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-219,lote1237-1,"four (counting in fours; only as an absolute numeral, not as an adnominal numeral)",lɛisinɛ,,"used for counting coconuts, breadfruit, pieces of firewood, (not, e.g., stones, bananas, people); cf. /ana lɛisinɛ/, used as an adnominal numeral; /hɛnɛl/ ‘four’ (in general counting)",Barlow2024
lote1237-1-220,lote1237-1,sixteen (16) (counting in fours),lɛisinɛ hɛnɛl,,‘group.of.four [times] four’; also /lɛisinɛ iri hɛnɛl/,Barlow2024
lote1237-1-221,lote1237-1,sixteen (16) (counting in fours),lɛisinɛ iri hɛnɛl,,‘group.of.four 3PL four’; also /lɛisinɛ hɛnɛl/,Barlow2024
lote1237-1-222,lote1237-1,twelve (12) (counting in fours),lɛisinɛ iri mol,,‘group.of.four 3PL three’; also /lɛisinɛ mol/,Barlow2024
lote1237-1-223,lote1237-1,eight (8) (counting in fours),lɛisinɛ iri nai,,‘group.of.four 3PL two’; also /lɛisinɛ nai/; cf. /ratɛle mol/ ‘eight’,Barlow2024
lote1237-1-224,lote1237-1,twelve (12) (counting in fours),lɛisinɛ mol,,‘group.of.four [times] three’; also /lɛisinɛ iri mol/,Barlow2024
lote1237-1-225,lote1237-1,eight (8) (counting in fours),lɛisinɛ nai,,‘group.of.four [times] two’; also /lɛisinɛ iri nai/; cf. /ratɛle mol/ ‘eight’,Barlow2024
lote1237-1-226,lote1237-1,nine (9) (counting in fours),lɛisinɛ nai pe ɛllɛ,,‘group.of.four [times] two and one’; cf. /ratɛle hɛnɛl/ ‘nine’,Barlow2024
lote1237-1-227,lote1237-1,eleven (11) (counting in fours),lɛisinɛ nai pe mol,,‘group.of.four [times] two and three’,Barlow2024
lote1237-1-228,lote1237-1,ten (10) (counting in fours),lɛisinɛ nai pe nai,,‘group.of.four [times] two and two’; cf. /analox/ ‘ten’,Barlow2024
lote1237-1-229,lote1237-1,five (5) (counting in fours),lɛisinɛ pe ɛllɛ,,‘group.of.four and one’; cf. /limɛ/ ‘five’,Barlow2024
lote1237-1-230,lote1237-1,seven (7) (counting in fours),lɛisinɛ pe mol,,‘group.of.four and three’; cf. /ratɛle nai/ ‘seven’,Barlow2024
lote1237-1-231,lote1237-1,six (6) (counting in fours),lɛisinɛ pe nai,,‘group.of.four and two’; cf. /ratɛle ɛllɛ/ ‘six’,Barlow2024
lote1237-1-232,lote1237-1,clean,lɛmlɛm,,reduplication?,Barlow2024
lote1237-1-233,lote1237-1,"to cut, to hack, to chop",lik,lik-ia,"cf. /tel/ ‘to cut, to fell a tree’, /rir/ ‘to cut, to slice’, /tot/ ‘to cut, to slice’, /ut/ ‘to cut’",Barlow2024
